               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11082,            0.037575,            0.027496,          0.00065704,            0.065378,          0.00035611,          7.3765e-05,            0.095131,            0.029006,            0.027903,             0.00016,             0.00016,             0.09856
                   1,            0.095177,            0.038454,            0.025902,            0.001793,             0.21688,            0.001173,          0.00031175,            0.076904,            0.029889,            0.026492,          0.00032919,          0.00032919,            0.097029
                   2,            0.084677,              0.0405,            0.024637,            0.014625,             0.17822,            0.011946,           0.0030087,              0.0665,            0.029752,            0.025634,          0.00049508,          0.00049508,            0.095495
                   3,            0.074389,            0.042184,             0.02371,             0.10927,             0.21287,             0.13292,            0.030635,             0.05894,            0.026785,            0.025719,          0.00065524,          0.00065524,            0.093955
                   4,            0.066707,            0.038217,            0.023155,              0.6792,             0.32633,             0.27682,            0.057949,            0.054088,            0.022594,            0.026187,          0.00080732,          0.00080732,            0.092407
                   5,             0.06459,            0.032409,            0.022815,             0.25513,             0.70941,             0.39451,             0.14187,            0.049848,            0.020284,            0.025307,          0.00094911,          0.00094911,            0.090849
                   6,            0.062538,            0.029584,            0.022794,              0.2857,             0.65582,             0.45209,             0.17346,            0.044773,            0.018588,            0.024316,           0.0010786,           0.0010786,            0.089279
                   7,             0.05945,            0.028502,            0.021457,             0.31047,             0.67451,             0.45453,              0.1203,            0.047529,            0.017044,            0.024604,            0.001194,            0.001194,            0.087694
                   8,            0.056498,            0.025504,            0.021659,             0.32591,             0.67468,             0.48051,             0.17235,            0.048304,            0.016093,            0.023012,           0.0012937,           0.0012937,            0.086094
                   9,            0.053612,            0.024288,            0.020363,             0.30739,             0.64294,             0.50808,             0.20131,            0.044976,            0.015647,            0.022114,           0.0013765,           0.0013765,            0.084477
                  10,            0.054366,            0.025885,            0.019677,              0.5616,             0.59372,             0.54422,             0.23356,            0.043287,            0.015256,            0.019211,           0.0014415,           0.0014415,            0.082842
                  11,            0.051001,             0.02326,            0.017647,             0.43106,             0.74916,             0.56953,             0.27171,            0.039094,            0.014958,            0.016429,           0.0014881,           0.0014881,            0.081188
                  12,            0.051557,            0.022999,            0.015418,             0.44555,             0.73417,             0.56615,             0.25794,            0.040811,            0.014409,             0.01542,           0.0015159,           0.0015159,            0.079516
                  13,            0.052316,            0.024043,            0.013302,             0.45888,             0.71931,              0.5724,              0.2664,            0.039188,             0.01393,            0.014141,           0.0015252,           0.0015252,            0.077825
                  14,            0.049059,            0.022398,            0.011179,             0.56466,             0.71132,             0.67698,             0.33922,            0.037437,            0.013732,            0.012777,           0.0015165,           0.0015165,            0.076116
                  15,            0.048464,               0.022,            0.010434,             0.57811,             0.68606,              0.6643,             0.31261,            0.040309,            0.013405,            0.012166,           0.0014905,           0.0014905,             0.07439
                  16,            0.045144,            0.020912,           0.0088633,             0.62921,             0.76749,             0.71228,             0.35814,            0.035552,             0.01337,           0.0092471,           0.0014485,           0.0014485,            0.072649
                  17,             0.04396,             0.02101,            0.008611,             0.56242,              0.7498,              0.6681,              0.3443,            0.035106,            0.013026,            0.012627,           0.0013921,           0.0013921,            0.070892
                  18,            0.043152,            0.021051,           0.0082782,             0.54053,             0.75879,             0.65006,              0.3132,            0.035211,            0.012813,            0.012367,           0.0013232,           0.0013232,            0.069123
                  19,             0.04289,            0.021821,           0.0074554,             0.64037,             0.74713,             0.72147,             0.35735,            0.034665,            0.012933,           0.0088123,            0.001244,            0.001244,            0.067344
                  20,            0.040636,            0.020525,           0.0069878,             0.68723,             0.69158,             0.71783,             0.37267,             0.03413,            0.012703,           0.0091349,            0.001157,            0.001157,            0.065557
                  21,            0.039854,            0.020954,           0.0062796,             0.67245,             0.78349,             0.75335,             0.39891,            0.033123,            0.012647,           0.0073028,           0.0010649,           0.0010649,            0.063765
                  22,             0.03739,            0.019645,           0.0063357,             0.66015,             0.76296,             0.75174,             0.39513,            0.033219,            0.012417,            0.007018,          0.00097068,          0.00097068,            0.061971
                  23,            0.035625,            0.019747,           0.0057489,             0.74551,             0.69959,             0.76399,              0.3816,            0.033534,            0.012597,           0.0064767,          0.00087743,          0.00087743,            0.060177
                  24,            0.035018,            0.020323,           0.0063459,             0.64405,             0.78186,             0.74305,             0.40271,            0.032542,              0.0128,           0.0075172,           0.0007884,           0.0007884,            0.058388
                  25,            0.034736,            0.018584,           0.0056468,              0.7027,             0.72034,             0.74268,              0.3831,            0.032134,            0.012146,           0.0085144,          0.00070687,          0.00070687,            0.056607
                  26,            0.034449,            0.019638,           0.0056261,             0.77268,              0.6881,             0.77238,             0.42921,            0.031554,            0.012471,            0.006948,          0.00063618,          0.00063618,            0.054836
                  27,            0.033362,            0.018562,           0.0056622,             0.66715,             0.80708,             0.78253,             0.42662,            0.031994,            0.012311,           0.0067697,          0.00057962,          0.00057962,             0.05308
                  28,            0.033681,            0.019582,           0.0050557,             0.61916,             0.75405,             0.73061,              0.4046,            0.032356,            0.012189,           0.0096034,          0.00054038,          0.00054038,             0.05134
                  29,            0.036963,            0.019767,           0.0046559,             0.71375,             0.72434,             0.76004,             0.40631,            0.032956,            0.012151,           0.0072971,          0.00052155,          0.00052155,            0.049622
